content	tweet_id	publish_date	trump_mention	retweet
Time to follow our fellow Trump supporter @10_gop whose account was suspended (again) 🇺🇸 https://t.co/CXozby3AIp	905932927132938243	9/7/2017 23:16	T	1
Trump lancia super bomba contro Is https://t.co/AwjR7wFCa2 https://t.co/wRChGwLywk	852953705817063424	4/14/2017 18:36	T	1
"""Nobody but us!"" Putin, LePen and Trump on a poster for Russian nationalist candidate Maria Katasonova. https://t.co/FOL0kA2IhA"	776798415573352448	9/16/2016 15:02	T	1
Live not by Trump's lies: my take in @USATODAY https://t.co/eTBXmlIcHi via	776940056250638337	9/17/2016 0:25	T	1
"""What Clinton & Trump need to do to win 'epic' debate."" @feldmike & I go behind what happens in debate prep https://t.co/UXFFlIUp6M @cbsnews"	779340816485584896	9/23/2016 15:25	T	1
U don't like Carson - u r racist, U don't like Trump - u r loser. That is what tonight's #GOPDebate is about  #VegasGOPDebate	676927669683019776	12/16/2015 0:51	T	0
Trump is an magnate and he doesn’t care about US economy. He cares only about his own money #GOPDebate #VegasGOPDebate	676933380810907652	12/16/2015 1:14	T	0
#VegasGOPDebate #GOPDebate If Carson doesn't stab Trump it will be waste of time	676947366885347328	12/16/2015 2:10	T	0
Donald Trump at the #GOPDebate #VegasGOPDebate	676947417078620166	12/16/2015 2:10	T	0
'@christwords199 Trump is always on the wrong side of the argument smh'	654476190816694272	10/15/2015 1:57	T	0
'@4mysquad  Trump never has stated, which side of the Black lives Matter debate he is on. http://t.co/OsGiCHrcwg'	654483604517457924	10/15/2015 2:27	T	1
#BlackLivesMatter Protesters Attack Trump Supporters ➠ Trump Supporters Blamed For Violence https://t.co/4Nji7LJhLm	656888267254534144	10/21/2015 17:42	T	0
Donald Trump has said he wants to bans Muslims, but Hillary Clinton has already bombed Muslims. #tytlive	789820717990830085	10/22/2016 13:28	T	1
SPREAD THIS  Hillary's ANIMALS harass and assault a homeless woman defending Trump.  #HillarysEmails #MAGA  https://t.co/Cx50Vr4vNl https://t.co/ahlNBbx2hu	792356071767674880	10/29/2016 13:23	T	1
President Donald Trump. #ScareMeIn3Words	652261167017005057	10/8/2015 23:15	T	1
Kanye West says he 'would have voted' for Donald Trump https://t.co/U17op2QADB	799617878173609984	11/18/2016 14:18	T	1
'@CBSNews Another day, another ‘mentally disturbed ‘ Trump lovers murder people'	672213383530196993	12/3/2015 0:38	T	0
'@nytimes seems like any day 'mentally ill' Trump-fan can shoot someone near you'	672218224851869697	12/3/2015 0:58	T	0
Comparison #Trump vs #Hitler #TrumpIsDisqualifiedParty #racism  #bigotry https://t.co/aEovVaoNeF	674336747510214661	12/8/2015 21:16	T	0
'@nytimes his supporters are as bigoted as Trump himself'	674338683789668352	12/8/2015 21:24	T	0
'@FreakOutNation fox makes you stupid enough to vote Trump'	674349145960894464	12/8/2015 22:05	T	0
'@HuffingtonPost and Trump is new Woldemort'	674353244588634112	12/8/2015 22:21	T	0
Seems like a good deal #TrumpIsDisqualifiedParty  #racism #Trump https://t.co/xjTt2fUvEl	674371886730604547	12/8/2015 23:36	T	0
Seems like even eagles hate #Trump #TrumpIsDisqualifiedParty  #TrumpFacts  #bigot https://t.co/1K77fuKA9e	674722611985797121	12/9/2015 22:49	T	0
Kansas City police pepper spray protesters outside Trump rally #Policebrutality https://t.co/n5P8BcCpcY	709180770967945218	3/14/2016 0:54	T	0
Typical Trump supporter #racism https://t.co/q2vEJ2M7Di	709509164779720704	3/14/2016 22:39	T	0
I bet you can't find a picture of #Trump, #HillaryClinton or virtually ANY other politician doing this. https://t.co/PXL3O7LLFW	710598383497580544	3/17/2016 22:47	T	0
'@drapermark37 not really. Just one more brainless Trump supporter'	710612162784452609	3/17/2016 23:41	T	0
'@Didactic_1 @sluggoD54 @ShaunKing Now he hates Mexican soon he'll hate us. Trump is not the best candidate ever, oppositely he's the worst'	634861395679514624	8/21/2015 22:55	T	0
'@lannaviv @begona_rivas @la_donna1 @realDonaldTrump @TIME We don't need TRUMP to live in U.S.We have other trump cards yea'	635110361729884160	8/22/2015 15:24	T	0
'@BuzzFeedNews @Russian_Starr @realDonaldTrump @CNN Trump talks AMERICA'	636879831372709888	8/27/2015 12:35	T	0
'@akacharleswade Trump is a Joker'	636813579547639808	8/27/2015 8:12	T	0
'@StephenAtHome @TIME I gonna dress like Trump'	637265947401674752	8/28/2015 14:10	T	0
'@ReverantRevan It's rly eerily. I don't wanna Trump to be a President. We'll have racism everywhere than...'	637533320494997504	8/29/2015 7:52	T	0
Dis's enough to love #AzeliaBanks!#police #Trump #DonaldTrumpforPresident #DonaldTrump #Blacktw #president #followme http://t.co/KNsatFBx67	637547385103650816	8/29/2015 8:48	T	0
'@realDonaldTrump fuck Trump'	638386754802724864	8/31/2015 16:23	T	0
